Q_NAME,CREATION_DATE,CREATION_TIME,Q_TYPE,DEFINITION_TYPE,Q_MIN_DEPTH,Q_MAX_DEPTH,AVG_Q_TIME,PUTS,PUTS_FAILED,PUT1S,PUT1S_FAILED,PUT_BYTES,GETS,GET_BYTES,GETS_FAILED,BROWSES,BROWSE_BYTES,BROWSES_FAILED,MSGS_NOT_QUEUED,MSGS_EXPIRED,MSGS_PURGED,DEQ Rate,ENQ Rate,Date-Time
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,20,40,567158299,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-05 04:12:37.328228
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,0,20,0,0,0,20480,0,0,0,0,0,0,0,0,0,20,20,2024-09-06 05:56:04.140033
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,107272700,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 05:59:18.184190
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,201322142,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 06:47:13.020995
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,3045356058,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 06:50:42.815840
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,5370352,40,0,0,0,40960,40,40960,0,0,0,0,0,0,0,80,60,2024-09-06 06:50:42.824515
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,96762167469,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,60,60,2024-09-06 07:21:54.585800
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,97308068992,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 07:21:54.594389
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,955583594,40,0,0,0,40960,40,40960,0,0,0,0,0,0,0,40,40,2024-09-06 07:21:54.602498
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,4770641,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 07:21:54.609665
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,42,0,2,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,2024-09-06 07:21:54.613811
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,647314673,18,0,0,0,18432,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:03:41.031241
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,1391889785,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:03:41.040592
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,3934185,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 09:03:41.049878
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,1422352832,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.054503
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,7278563,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.058903
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,6169953,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:04:31.689987
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,12069229991,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 11:05:31.775797
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,7004073,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 11:12:12.029731
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,12,20,5162733,20,0,0,0,20480,8,8192,0,0,0,0,0,0,0,9,20,2024-09-06 11:12:12.040902
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,12,5583950,0,0,0,0,0,12,12288,0,0,0,0,0,0,0,11,0,2024-09-06 11:13:12.020821
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,10,20,5410374,20,0,0,0,20480,10,10240,0,0,0,0,0,0,0,12,20,2024-09-06 13:39:55.927807
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,10,5420264,0,0,0,0,0,10,10240,0,0,0,0,0,0,0,8,0,2024-09-06 13:40:55.899189
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,4006915,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.030160
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,5803897,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.039319
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,5326232,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.044187
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,20,20480,1,0,0,0,0,20,2024-09-06 17:22:56.022694
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,50992292,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,20,0,2024-09-06 17:23:56.030276
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-09-06 17:24:56.022429
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,80,81920,5,0,0,0,0,20,2024-09-06 17:25:56.023289
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,0,20,0,0,0,20480,0,0,0,0,0,0,0,0,0,0,20,2024-09-07 04:09:29.312699
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,8060062,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-07 04:09:29.322018
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,3767929,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-07 04:16:10.705736
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,16,20,3397815,20,0,0,0,20480,4,4096,0,0,0,0,0,0,0,20,20,2024-09-07 04:22:16.409224
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,0,0,0,0,0,0,20,20,2024-09-04 08:12:58.123100
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,8173736,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,0,0,2024-09-04 08:24:00.648476
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,4,20,7508181,20,0,0,0,20480,16,16384,0,0,0,0,0,0,0,40,40,2024-09-04 08:24:00.656623
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,4,7496114,0,0,0,0,0,4,4096,0,0,0,0,0,0,0,0,0,2024-09-04 08:24:00.664668
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,9150947,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-04 08:27:39.846643
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,0,0,0,0,0,0,60,60,2024-09-04 08:27:39.857031
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,6453679,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-04 08:27:39.868086
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,5006498,40,0,0,0,40960,60,61440,0,0,0,0,0,0,0,0,0,2024-09-04 08:27:39.877189
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,20,40,567158299,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-05 04:12:37.328228
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,0,20,0,0,0,20480,0,0,0,0,0,0,0,0,0,20,20,2024-09-06 05:56:04.140033
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,107272700,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 05:59:18.184190
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,201322142,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 06:47:13.020995
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,3045356058,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 06:50:42.815840
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,5370352,40,0,0,0,40960,40,40960,0,0,0,0,0,0,0,80,60,2024-09-06 06:50:42.824515
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,96762167469,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,60,60,2024-09-06 07:21:54.585800
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,97308068992,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 07:21:54.594389
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,955583594,40,0,0,0,40960,40,40960,0,0,0,0,0,0,0,40,40,2024-09-06 07:21:54.602498
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,4770641,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 07:21:54.609665
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,42,0,2,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,2024-09-06 07:21:54.613811
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,647314673,18,0,0,0,18432,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:03:41.031241
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,1391889785,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:03:41.040592
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,3934185,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 09:03:41.049878
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,1422352832,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.054503
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,7278563,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.058903
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,6169953,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:04:31.689987
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,12069229991,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 11:05:31.775797
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,7004073,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 11:12:12.029731
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,12,20,5162733,20,0,0,0,20480,8,8192,0,0,0,0,0,0,0,9,20,2024-09-06 11:12:12.040902
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,12,5583950,0,0,0,0,0,12,12288,0,0,0,0,0,0,0,11,0,2024-09-06 11:13:12.020821
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,10,20,5410374,20,0,0,0,20480,10,10240,0,0,0,0,0,0,0,12,20,2024-09-06 13:39:55.927807
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,10,5420264,0,0,0,0,0,10,10240,0,0,0,0,0,0,0,8,0,2024-09-06 13:40:55.899189
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,4006915,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.030160
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,5803897,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.039319
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,5326232,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.044187
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,20,20480,1,0,0,0,0,20,2024-09-06 17:22:56.022694
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,50992292,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,20,0,2024-09-06 17:23:56.030276
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-09-06 17:24:56.022429
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,80,81920,5,0,0,0,0,20,2024-09-06 17:25:56.023289